time,lat,lon,log,battery,u,v,wptLat,wptLon
Fri Dec 13 02:15:29 2019 MT,51.81596666666666,-47.199866666666665,0267.0009,96.7661549240675,0.133612564075777,-0.094217637703975,56.22328333333333,-47.64573333333333
Fri Dec 13 11:43:25 2019 MT,51.88425000000001,-47.21253333333334,0267.0011,96.6616549255207,0.0677590797701858,-0.054070232800905,56.22328333333333,-47.64573333333333
Fri Dec 13 21:02:01 2019 MT,51.883783333333334,-47.211400000000005,0267.0012,96.559303691448,0.0673207965227116,-0.0541644834850199,56.22328333333333,-47.64573333333333
Sat Dec 14 06:34:01 2019 MT,51.996399999999994,-47.25791666666668,0267.0013,96.4560478291666,-0.136263248351008,-0.116944735919053,56.22328333333333,-47.64573333333333
Sat Dec 14 15:51:09 2019 MT,52.05174999999999,-47.28723333333334,0267.0014,96.3524524588285,-0.172012684456112,-0.0266578432178056,56.22328333333333,-47.64573333333333
Sun Dec 15 01:01:18 2019 MT,52.113433333333326,-47.29618333333333,0267.0015,96.2506668898646,-0.157624788471773,0.0331839900812286,56.22328333333333,-47.64573333333333
Sun Dec 15 01:13:17 2019 MT,52.113433333333326,-47.29618333333333,0267.0016,96.2428631091726,-0.157624788471773,0.0331839900812286,56.22328333333333,-47.64573333333333
Sun Dec 15 10:19:25 2019 MT,52.16978333333333,-47.312766666666654,0267.0018,96.1415298543131,-0.186373128322271,0.0319093019847454,56.22328333333333,-47.64573333333333
Sun Dec 15 19:54:58 2019 MT,52.169399999999996,-47.31456666666666,0267.0020,96.0275296247046,-0.186096777788761,0.0318121438152631,56.22328333333333,-47.64573333333333
Mon Dec 16 05:23:32 2019 MT,52.308749999999996,-47.34493333333334,0267.0022,95.9203155598795,-0.169147780935791,0.0451122956236638,56.22328333333333,-47.64573333333333
Mon Dec 16 14:59:15 2019 MT,52.37926666666667,-47.38005,0267.0024,95.8102738961192,-0.203051640938162,0.0764117876870894,56.22328333333333,-47.64573333333333
Mon Dec 16 15:05:26 2019 MT,52.37926666666667,-47.38005,0267.0025,95.8069939830798,-0.203051640938162,0.0764117876870894,56.22328333333333,-47.64573333333333
Tue Dec 17 00:05:44 2019 MT,52.44259999999999,-47.36776666666666,0267.0026,95.7089406412596,-0.15525805878119,0.0682503603523264,56.22328333333333,-47.64573333333333
Tue Dec 17 09:30:59 2019 MT,52.52663333333333,-47.38536666666667,0267.0028,95.6051191138694,-0.157074977102363,0.113565006535693,56.22328333333333,-47.64573333333333
Tue Dec 17 19:39:52 2019 MT,52.60556666666667,-47.40036666666667,0267.0030,95.460131190111,-0.168084089210071,0.0977566090439104,56.22328333333333,-47.64573333333333
Wed Dec 18 04:51:24 2019 MT,52.69281666666667,-47.38708333333334,0267.0031,95.360381216269,-0.107650086128178,0.112315192667756,56.22328333333333,-47.64573333333333
Wed Dec 18 14:14:45 2019 MT,52.78333333333333,-47.34441666666666,0267.0032,95.2599525896181,-0.0440605958288518,0.105290997316323,56.22328333333333,-47.64573333333333
Wed Dec 18 23:33:09 2019 MT,52.864316666666674,-47.25528333333334,0267.0033,95.1528511491884,0.0688457279965176,-0.0113099477583151,56.22328333333333,-47.64573333333333
Wed Dec 18 23:38:45 2019 MT,52.864316666666674,-47.25528333333334,0267.0034,95.1492322730491,0.0688457279965176,-0.0113099477583151,56.22328333333333,-47.64573333333333
Wed Dec 18 23:52:04 2019 MT,52.864316666666674,-47.25528333333334,0267.0036,95.1412025169572,0.0688457279965176,-0.0113099477583151,56.22328333333333,-47.64573333333333
Thu Dec 19 09:23:41 2019 MT,52.947416666666676,-47.191433333333336,0267.0038,95.0312738408969,0.150297301767535,-0.0577514815295874,56.22328333333333,-47.64573333333333
Thu Dec 19 09:36:17 2019 MT,52.947416666666676,-47.191433333333336,0267.0039,95.022000130192,0.150297301767535,-0.0577514815295874,56.22328333333333,-47.64573333333333
Thu Dec 19 19:01:47 2019 MT,53.011700000000005,-47.152816666666666,0267.0040,94.9191965820149,0.162246262235091,-0.101933527302457,53.705666666666666,-47.42023333333333
Thu Dec 19 19:41:29 2019 MT,53.011700000000005,-47.152816666666666,0267.0041,94.8920537394042,0.162246262235091,-0.101933527302457,53.705666666666666,-47.42023333333333
Fri Dec 20 05:22:34 2019 MT,53.071783333333336,-47.11346666666667,0267.0042,94.7841606584658,0.159113487209134,-0.105517916174066,53.705666666666666,-47.42023333333333
Fri Dec 20 15:03:39 2019 MT,53.125633333333326,-47.07963333333334,0267.0044,94.6686904988443,0.156004583518623,-0.123530242034751,53.705666666666666,-47.42023333333333
Fri Dec 20 15:15:25 2019 MT,53.125633333333326,-47.07963333333334,0267.0046,94.6610000691568,0.156004583518623,-0.123530242034751,53.705666666666666,-47.42023333333333
Fri Dec 20 15:26:06 2019 MT,53.125633333333326,-47.07963333333334,0267.0047,94.6545535940824,0.156004583518623,-0.123530242034751,53.705666666666666,-47.42023333333333
Sat Dec 21 00:39:45 2019 MT,53.17858333333334,-47.04768333333333,0267.0048,94.5548036202403,0.154665318976081,-0.121885901798228,53.705666666666666,-47.42023333333333
Sat Dec 21 00:44:36 2019 MT,53.17858333333334,-47.04768333333333,0267.0049,94.5522027233142,0.154665318976081,-0.121885901798228,53.705666666666666,-47.42023333333333
Sat Dec 21 00:50:01 2019 MT,53.17858333333334,-47.04768333333333,0267.0050,94.549488112079,0.154665318976081,-0.121885901798228,53.705666666666666,-47.42023333333333
Sat Dec 21 10:03:53 2019 MT,53.243233333333336,-47.041,0267.0051,94.4488335100283,0.132081385344654,-0.072155119969624,53.705666666666666,-47.42023333333333
Sat Dec 21 19:27:46 2019 MT,53.30328333333333,-47.089733333333335,0267.0052,94.3472739164643,0.039997306243137,-0.0512709040326453,53.705666666666666,-47.42023333333333
Sun Dec 22 04:45:02 2019 MT,53.37845000000001,-47.10335,0267.0053,94.2446967069916,0.0598626157847875,-0.0315586694698807,53.705666666666666,-47.42023333333333
Sun Dec 22 14:05:01 2019 MT,53.45131666666666,-47.12141666666666,0267.0054,94.1422324852189,0.114172405439978,-0.0300421246583924,53.705666666666666,-47.42023333333333
Sun Dec 22 23:20:09 2019 MT,53.51305000000001,-47.17355,0267.0056,94.0363749994023,0.069179249089581,-0.0279867052807447,53.705666666666666,-47.42023333333333
Mon Dec 23 08:50:43 2019 MT,53.576233333333334,-47.24486666666667,0267.0058,93.9240714018159,0.0112407506577088,-0.0175168809231825,53.705666666666666,-47.42023333333333
Mon Dec 23 18:56:48 2019 MT,53.639199999999995,-47.294333333333334,0267.0060,93.7883571887624,0.0278670032643575,-0.0099723601293107,53.705666666666666,-47.42023333333333
Tue Dec 24 04:30:40 2019 MT,53.701950000000004,-47.37781666666666,0267.0062,93.672774041441,0.0368758743368833,0.00367959777570042,53.81358333333333,-47.38786666666667
Tue Dec 24 13:54:22 2019 MT,53.79493333333333,-47.391,0267.0064,93.5557206008021,0.0117340528559191,0.0287166149400763,54.02941666666667,-47.59810000000001
Tue Dec 24 14:42:10 2019 MT,53.79493333333333,-47.391,0267.0068,93.5200953246906,0.0117340528559191,0.0287166149400763,54.02941666666667,-47.59810000000001
Tue Dec 24 14:47:29 2019 MT,53.79493333333333,-47.391,0267.0069,93.5170417503557,0.0117340528559191,0.0287166149400763,54.02941666666667,-47.59810000000001
Wed Dec 25 00:02:21 2019 MT,53.88483333333334,-47.47195,0267.0071,93.4161608096004,-0.0130007252645657,0.0660929054852634,54.02941666666667,-47.59810000000001
Wed Dec 25 01:04:34 2019 MT,53.88483333333334,-47.47195,0267.0077,93.3693392153622,-0.0130007252645657,0.0660929054852634,54.02941666666667,-47.59810000000001
Wed Dec 25 10:32:36 2019 MT,53.99421666666667,-47.53573333333334,0267.0079,93.2614468610327,0.0294048600498648,0.0836685512069541,54.02941666666667,-47.59810000000001
Wed Dec 25 19:43:53 2019 MT,54.082566666666665,-47.54490000000001,0267.0080,93.1613571974818,0.0259519149540718,0.038482566069337,56.22328333333333,-47.64573333333333
Thu Dec 26 22:58:49 2019 MT,54.34811666666666,-47.52935,0267.0083,92.8517025983374,-0.0135243540805927,0.0173655797735195,56.22328333333333,-47.64573333333333
Fri Dec 27 05:43:23 2019 MT,54.4096,-47.50940000000001,0267.0084,92.7675598225748,0.027177576111136,0.000929395978827963,56.22328333333333,-47.64573333333333
Fri Dec 27 10:17:24 2019 MT,54.452666666666666,-47.529500000000006,0267.0085,92.7184759312057,-0.0467984491381187,0.0285704518451421,56.22328333333333,-47.64573333333333
Fri Dec 27 19:36:12 2019 MT,54.5363,-47.51241666666666,0267.0086,92.61454177942,-0.0309681827262546,0.0170613214936116,56.22328333333333,-47.64573333333333
Sat Dec 28 04:45:56 2019 MT,54.61011666666667,-47.50866666666668,0267.0087,92.5138868140647,-0.0459618470018949,-0.0173733304967956,56.22328333333333,-47.64573333333333
Sat Dec 28 13:51:33 2019 MT,54.67316666666667,-47.480166666666676,0267.0088,92.4125539225096,-0.0370692005578625,-0.0448649023068471,56.22328333333333,-47.64573333333333
Sat Dec 28 22:58:40 2019 MT,54.73941666666666,-47.46795000000001,0267.0089,92.3124642589587,-0.0249679716876369,-0.0478002231219818,56.22328333333333,-47.64573333333333
Sun Dec 29 08:16:57 2019 MT,54.78909999999999,-47.44026666666667,0267.0091,92.1983510416503,-0.0195098221648765,-0.109037745381366,56.22328333333333,-47.64573333333333
Sun Dec 29 17:22:45 2019 MT,54.84256666666667,-47.46201666666666,0267.0093,92.0907976504208,-0.0334468477936748,-0.09889804195254,55.324433333333346,-47.670316666666665
Mon Dec 30 03:10:10 2019 MT,54.89750000000001,-47.492716666666674,0267.0094,91.9844882138043,-0.0489663974809446,-0.0832930174020464,55.324433333333346,-47.670316666666665
Mon Dec 30 12:44:54 2019 MT,54.95896666666666,-47.50761666666668,0267.0095,91.8801013846097,-0.03650045567572,-0.0668349403044229,55.324433333333346,-47.670316666666665
Mon Dec 30 21:47:08 2019 MT,55.015699999999995,-47.51713333333334,0267.0096,91.7787677664457,-0.0151604450008381,-0.0979261605794647,55.324433333333346,-47.670316666666665
Tue Dec 31 06:53:28 2019 MT,55.08128333333334,-47.5308,0267.0097,91.6767562220818,-0.0277281726440656,-0.047492398176237,55.324433333333346,-47.670316666666665
Tue Dec 31 07:08:04 2019 MT,55.08128333333334,-47.5308,0267.0098,91.6658985037504,-0.0277281726440656,-0.047492398176237,55.43236666666667,-47.541533333333334
Tue Dec 31 16:19:18 2019 MT,55.161383333333326,-47.53885,0267.0099,91.5649049385997,-0.0477132442903449,0.0144014818994554,55.43236666666667,-47.541533333333334
Tue Dec 31 16:23:36 2019 MT,55.161383333333326,-47.53885,0267.0100,91.5626430047734,-0.0477132442903449,0.0144014818994554,55.43236666666667,-47.541533333333334
Wed Jan  1 01:50:54 2020 MT,55.23813333333333,-47.52289999999999,0267.0102,91.4503390438824,-0.0618467190297007,0.0228558636248338,55.43236666666667,-47.541533333333334
Wed Jan  1 01:55:19 2020 MT,55.23813333333333,-47.52289999999999,0267.0103,91.448529787465,-0.0618467190297007,0.0228558636248338,55.43236666666667,-47.541533333333334
Wed Jan  1 11:25:13 2020 MT,55.32686666666667,-47.5381,0267.0105,91.3461781900878,-0.0871722385798757,0.0650186789449384,55.43236666666667,-47.541533333333334
Wed Jan  1 20:59:41 2020 MT,55.399433333333334,-47.53368333333333,0267.0107,91.237833521654,-0.091796006616959,0.00895254615792612,55.540283333333335,-47.69808333333333
Thu Jan  2 07:17:25 2020 MT,55.472983333333325,-47.582283333333336,0267.0111,91.0879820405342,-0.0426838401531895,-0.026389960579806,55.540283333333335,-47.69808333333333
