Time,Lat,Long,TTFF,Count,Commands,TxTries,ONT,I,V,Temperature,AirmarAirTemp,AirmarWindDirection,AirmarWindSpeed,AirmarWindGust,AirmarHeading,AirmarAirFix,MOSE_OnMin,Hs,Ts,T0,Hmax,Err,
2020-03-05 15:00:00,47.67294,-52.34868,26,59,0,2,1230,0.018,13.6,0,-0.8,0,10,10,171,0,10,3,7.25,6,3.8,3,
2020-03-05 15:30:00,47.65974,-52.33149,26,0,0,1,1230,0.018,13.6,0,-1,0,15,15,168,0,10,3.2,7.25,5.5,5.8,1,
2020-03-05 16:00:00,47.64474,-52.31349,42,1,0,1,1240,0.018,13.6,1,-1,0,18,18,162,0,10,3.7,8.25,5.75,5.3,0,
2020-03-05 16:30:00,47.63058,-52.29477,26,2,0,1,1230,0.018,13.6,0,-1,0,17,17,174,0,10,3.7,7.5,5.75,4.9,0,
2020-03-05 17:00:00,47.61519,-52.27734,26,3,0,1,1230,0.018,13.6,0,-1.2,0,10,10,166,0,10,3.5,9,6.5,3.8,0,
2020-03-05 17:30:00,47.59947,-52.25646,26,4,0,1,1230,0.016,13.5,0,-1.4,0,12,12,165,0,10,3.9,8.75,6.75,4.5,1,
2020-03-05 18:00:00,47.58309,-52.23489,26,5,0,1,1230,0.018,13.5,0,-1.5,0,18,18,175,0,10,3.7,8.5,6.5,4.6,5,
2020-03-05 18:30:00,47.5665,-52.21698,26,6,0,1,1230,0.018,13.5,0,-1.5,0,12,12,172,0,10,3.7,8.25,6.5,4.6,2,
2020-03-05 19:00:00,47.55036,-52.19772,26,7,0,2,1230,0.018,13.6,0,-1.5,0,13,13,177,0,10,3.2,9.5,6.25,3.9,0,
2020-03-05 19:30:00,47.53458,-52.18038,30,8,0,1,1230,0.018,13.7,0,-1.6,0,9,9,173,0,10,4.3,8.25,7.25,5,0,
2020-03-05 20:00:00,47.52105,-52.16028,62,9,0,2,1260,0.018,13.5,1,-1.8,0,14,14,173,0,10,3.1,7.25,5.75,4.2,0,
2020-03-05 20:30:00,47.50698,-52.14102,26,10,0,1,1230,0.018,13.4,0,-1.8,0,10,10,171,0,10,3.6,8,6.75,4.1,0,
2020-03-05 21:00:00,47.49318,-52.12098,26,11,0,1,1230,0.018,13.4,0,-1.8,0,14,14,164,0,10,3.6,9,7.25,4.2,0,
2020-03-05 21:30:00,47.47935,-52.09998,26,12,0,1,1230,0.018,13.3,0,-1.8,0,15,15,171,0,10,3.4,9,7,4.3,0,
2020-03-05 22:00:00,47.4636,-52.08108,26,13,0,1,1230,0.018,13.3,0,-2,0,9,9,168,0,10,3.8,7.25,6.25,5.2,0,
2020-03-05 22:30:00,47.4474,-52.06113,26,14,0,1,1230,0.018,13.2,0,-2.1,0,12,12,188,0,10,3.8,10.75,6.5,5.4,1,
2020-03-05 23:00:00,47.43138,-52.04781,26,15,0,1,1230,0.018,13.2,0,-2.1,0,17,17,188,0,10,4.3,9.25,7,6.4,2,
2020-03-05 23:30:00,47.41437,-52.0371,42,16,0,1,1240,0.018,13.2,1,-2.2,0,14,14,350,0,10,5.1,10,8.25,7.7,5,
2020-03-06 00:00:00,47.43078,-52.04403,26,17,0,1,1230,0.018,13.2,0,-2.3,0,12,12,354,0,10,3.8,9.75,6.75,7.1,1,
2020-03-06 00:30:00,47.448,-52.04844,26,18,0,1,1230,0.018,13.2,0,-2.3,0,14,14,339,0,10,3.8,9.25,7,4.6,0,
2020-03-06 01:00:00,47.46438,-52.05801,26,19,0,1,1230,0.018,13.2,0,-2.3,0,12,12,175,0,10,4.6,8.5,7.25,7.1,0,
2020-03-06 01:30:00,47.44902,-52.04673,26,20,0,1,1230,0.018,13.2,0,-2.3,0,10,10,178,0,10,4.7,10.75,8,5.8,1,
2020-03-06 02:00:00,47.42946,-52.03437,42,21,0,1,1240,0.018,13.2,1,-2.3,0,16,16,188,0,10,2.7,8.75,5.75,3.7,0,
2020-03-06 02:30:00,47.41095,-52.02684,26,22,0,1,1230,0.018,13.2,0,-2.2,0,12,12,18,0,10,4.1,9.5,6.75,5.5,0,
2020-03-06 03:00:00,47.42814,-52.02369,26,23,0,1,1230,0.018,13.2,0,-2.2,0,9,9,22,0,10,3.6,8.5,7.25,5.9,0,
2020-03-06 03:30:00,47.44479,-52.02276,26,24,0,2,1230,0.018,13.2,0,-2.1,0,12,12,25,0,10,3.8,9.5,7.25,5.1,0,
2020-03-06 04:00:00,47.46147,-52.01679,26,25,0,1,1230,0.018,13.2,0,-2.1,0,14,14,23,0,10,3.7,10.75,7.25,5.3,0,
2020-03-06 04:30:00,47.47845,-52.0053,26,26,0,1,1230,0.018,13.2,0,-2.1,0,9,9,38,0,10,4.1,11.5,7.25,4.6,0,
2020-03-06 05:00:00,47.49486,-51.99123,26,27,0,1,1230,0.018,13.2,0,-2.1,0,6,6,49,0,10,3,9.25,6.75,3.8,0,
2020-03-06 05:30:00,47.508,-51.9732,42,28,0,1,1240,0.018,13.2,1,-2,0,9,9,38,0,10,3.6,9.75,7.25,5,0,
2020-03-06 06:00:00,47.5236,-51.96045,26,29,0,1,1230,0.018,13.2,0,-2,0,8,8,57,0,10,3.3,9.25,7,4.8,0,
2020-03-06 06:30:00,47.53776,-51.94206,26,30,0,1,1230,0.018,13.2,0,-2,0,12,12,53,0,10,3.4,8,6.5,4.6,0,
2020-03-06 07:00:00,47.54934,-51.91728,26,31,0,2,1230,0.018,13.2,0,-1.9,0,8,8,63,0,10,3.2,11.25,7.75,4.2,0,
2020-03-06 07:30:00,47.56014,-51.89424,26,32,0,2,1230,0.018,13.2,0,-1.9,0,14,14,53,0,10,3.4,10.25,8.75,4.2,0,
2020-03-06 08:00:00,47.5686,-51.86706,42,33,0,1,1240,0.018,13.2,0,-1.9,0,9,9,205,0,10,3.3,9.25,6,4.6,0,
2020-03-06 08:30:00,47.55114,-51.86508,26,34,2,1,1230,0.018,13.2,0,-2,0,8,8,104,0,10,3.9,10,8,4.7,0,
2020-03-06 09:00:00,47.5455,-51.84954,26,35,0,1,1230,0.018,13.2,0,-2.2,0,6,6,63,0,10,2.9,10,6.25,3.5,0,
2020-03-06 09:30:00,47.55687,-51.82698,26,36,0,1,1230,0.018,13.2,0,-2.2,0,8,8,93,0,10,3,7.75,5.5,3.5,0,
2020-03-06 10:00:00,47.54802,-51.81342,26,37,0,1,1230,0.018,13.2,0,-2.2,0,13,13,94,0,10,2.3,7.75,5.25,2.9,0,
2020-03-06 10:30:00,47.54013,-51.7989,26,38,0,1,1230,0.018,13.3,0,-2.3,285,8,9,50,1,10,3.5,11.5,6.75,4.8,4,
2020-03-06 11:00:00,47.55348,-51.78252,26,39,0,1,1230,0.018,13.3,0,-2.3,0,9,9,51,0,10,3.5,11,7.5,4.3,0,
2020-03-06 11:30:00,47.56455,-51.76314,42,40,0,2,1240,0.018,13.5,0,-1.9,0,10,10,54,0,10,2.5,8.5,6,4,0,
2020-03-06 12:00:00,47.5767,-51.74406,26,41,0,1,1230,0.018,13.6,0,-1.5,0,8,8,50,0,10,2.9,7.25,6,4.4,0,
2020-03-06 12:30:00,47.58888,-51.72435,26,42,0,1,1230,0.018,14.1,0,-1.5,0,9,9,43,0,10,3.6,9.75,7,4,0,
2020-03-06 13:00:00,47.60157,-51.70848,26,43,0,2,1230,0.018,14.1,1,-1.9,0,10,10,30,0,10,3.7,11.5,7.25,4.3,0,
2020-03-06 13:30:00,47.6166,-51.69999,26,44,0,1,1230,0.018,13.8,1,-2.2,0,13,13,205,0,10,3,7,5.75,4.8,1,
2020-03-06 14:00:00,47.59884,-51.69885,42,45,0,1,1240,0.016,14,1,-2.2,0,5,5,39,0,10,3.6,7.75,6,5,0,
2020-03-06 14:30:00,47.61303,-51.68727,26,46,0,1,1230,0.016,13.8,1,-2.2,0,8,8,32,0,10,3.5,10.5,6.75,4.7,4,
2020-03-06 15:00:00,47.62773,-51.67614,26,47,0,1,1230,0.016,13.7,1,-2.3,0,10,10,221,0,10,3.5,10.5,7.25,4.9,1,
2020-03-06 15:30:00,47.61033,-51.68175,26,48,0,1,1230,0.018,13.7,1,-2,0,12,12,69,0,10,3.1,8.5,6.5,3.9,0,
