time,lon,lat
20190814_153158,-58.2715,49.6215
20190814_153825,-58.2719,49.6213
20190814_154509,-58.2723,49.6211
20190814_155203,-58.2727,49.6209
20190814_155854,-58.2731,49.6207
20190814_160617,-58.2735,49.6205
20190814_161228,-58.2739,49.6203
20190814_161946,-58.2743,49.62
20190814_162550,-58.2747,49.6198
20190814_163225,-58.2751,49.6196
20190814_163936,-58.2755,49.6194
20190814_165618,-58.278,49.6203
20190814_170716,-58.2779,49.6203
20190814_171535,-58.2772,49.6199
20190814_172219,-58.2766,49.6195
20190814_172915,-58.276,49.6191
20190814_173624,-58.2754,49.6187
20190814_174236,-58.2748,49.6184
20190814_174903,-58.2743,49.618
20190814_175528,-58.2737,49.6177
20190814_180141,-58.2732,49.6174
20190814_180743,-58.2727,49.617
20190814_181336,-58.2722,49.6167
20190814_181946,-58.2717,49.6164
20190814_182544,-58.2711,49.616
20190814_183142,-58.2706,49.6157
20190814_183739,-58.2701,49.6154
20190814_184354,-58.2696,49.6151
20190814_184959,-58.2691,49.6147
20190814_185609,-58.2685,49.6144
20190814_190158,-58.268,49.6141
20190814_190759,-58.2675,49.6137
20190814_191349,-58.267,49.6134
20190814_191959,-58.2665,49.6131
20190814_192549,-58.266,49.6128
20190814_193158,-58.2655,49.6124
20190814_193752,-58.265,49.6121
20190814_194358,-58.2644,49.6118
20190814_194948,-58.2639,49.6115
20190814_195602,-58.2634,49.6111
20190814_200155,-58.2629,49.6108
20190814_200805,-58.2624,49.6105
20190814_201408,-58.2618,49.6101
20190814_202042,-58.2613,49.6098
20190814_202616,-58.2608,49.6095
20190814_203238,-58.2603,49.6091
20190814_203932,-58.2597,49.6088
20190814_204554,-58.2591,49.6084
20190814_205220,-58.2586,49.6081
20190814_210556,-58.2579,49.6081
20190814_211456,-58.2561,49.6081
20190814_212204,-58.2542,49.6081
20190814_212822,-58.2526,49.6082
20190814_213413,-58.251,49.6082
20190814_214112,-58.2492,49.6082
20190814_214704,-58.2476,49.6083
20190814_215342,-58.2459,49.6083
20190814_220029,-58.2441,49.6083
20190814_220748,-58.2422,49.6083
20190814_221400,-58.2405,49.6084
20190814_222119,-58.2386,49.6084
20190814_222743,-58.2369,49.6084
20190814_223459,-58.235,49.6085
20190814_224215,-58.2331,49.6085
20190814_225000,-58.231,49.6085
20190814_225640,-58.2293,49.6086
20190814_230419,-58.2272,49.6086
20190814_231125,-58.2254,49.6086
20190814_231829,-58.2235,49.6086
20190814_232509,-58.2217,49.6087
20190814_233213,-58.2199,49.6087
20190814_233926,-58.218,49.6087
20190814_234708,-58.2159,49.6088
20190814_235530,-58.2137,49.6088
20190815_000318,-58.2117,49.6088
20190815_001128,-58.2095,49.6089
20190815_001936,-58.2074,49.6089
20190815_002811,-58.2051,49.6089
20190815_003704,-58.2027,49.609
20190815_004544,-58.2005,49.609
20190815_005455,-58.198,49.6091
20190815_010421,-58.1961,49.6095
20190815_011600,-58.1944,49.6093
20190815_012612,-58.1928,49.6087
20190815_013520,-58.1914,49.6083
20190815_014427,-58.19,49.6078
20190815_015258,-58.1887,49.6074
20190815_020300,-58.1872,49.6069
20190815_021307,-58.1856,49.6063
20190815_022302,-58.1841,49.6058
20190815_023225,-58.1826,49.6053
20190815_024119,-58.1813,49.6049
20190815_025115,-58.1798,49.6044
20190815_030112,-58.1782,49.6039
20190815_031221,-58.1765,49.6033
20190815_032336,-58.1748,49.6027
20190815_033519,-58.173,49.6021
20190815_034719,-58.1711,49.6015
20190815_040113,-58.169,49.6008
20190815_041516,-58.1669,49.6001
20190815_042828,-58.1648,49.5994
20190815_044228,-58.1627,49.5987
20190815_045532,-58.1607,49.598
20190815_050343,-58.1594,49.5982
20190815_052636,-58.1552,49.5979
20190815_054035,-58.1525,49.5974
20190815_055426,-58.1497,49.597
20190815_060818,-58.1469,49.5965
20190815_062145,-58.1442,49.5961
20190815_063634,-58.1413,49.5956
20190815_065009,-58.1386,49.5951
20190815_070356,-58.1358,49.5947
20190815_071805,-58.133,49.5942
20190815_073239,-58.1301,49.5938
20190815_074454,-58.1285,49.5937
20190815_080346,-58.1245,49.5933
20190815_082044,-58.1203,49.5927
20190815_083719,-58.1162,49.5922
20190815_085357,-58.1121,49.5916
20190815_090527,-58.1103,49.5916
20190815_092549,-58.1051,49.5911
20190815_094433,-58.1001,49.5905
20190815_100302,-58.0951,49.5898
20190815_102255,-58.0898,49.589
20190815_104245,-58.0845,49.5883
20190815_110156,-58.0793,49.5876
20190815_112112,-58.0742,49.5869
20190815_114028,-58.069,49.5862
20190815_115949,-58.0639,49.5854
20190815_121822,-58.0589,49.5848
20190815_123721,-58.0538,49.5841
20190815_130622,-58.0481,49.584
20190815_133027,-58.0433,49.5835
20190815_135034,-58.0387,49.5828
20190815_141115,-58.034,49.582
20190815_143107,-58.0295,49.5813
20190815_145112,-58.025,49.5806
20190815_151126,-58.0204,49.5798
20190815_153425,-58.0152,49.579
20190815_155800,-58.0098,49.5781
20190815_162208,-58.0044,49.5772
20190815_163708,-58.0016,49.5769
20190815_171454,-57.996,49.5754
20190815_174601,-57.9889,49.574
20190815_181341,-57.9824,49.5726
20190815_184303,-57.9755,49.5711
20190815_191257,-57.9685,49.5696
20190815_194241,-57.9615,49.5681
20190815_201142,-57.9546,49.5667
20190815_203921,-57.9481,49.5653
20190815_210833,-57.9413,49.5638
