time,lon,lat
20160916_182359,-55.1011,54.1328
20160916_183756,-55.1007,54.134
20160916_185419,-55.1005,54.1349
20160916_190828,-55.1001,54.1361
20160916_192322,-55.0999,54.1375
20160916_193711,-55.0997,54.139
20160916_195211,-55.0997,54.1405
20160916_200541,-55.0996,54.1421
20160916_202044,-55.0995,54.144
20160916_203403,-55.0993,54.1456
20160916_204942,-55.0992,54.1473
20160916_210259,-55.0985,54.149
20160916_211810,-55.0977,54.1506
20160916_213137,-55.0967,54.1523
20160916_214635,-55.0956,54.1543
20160916_220017,-55.0946,54.1561
20160916_221123,-55.0948,54.1575
20160916_221930,-55.0947,54.1588
20160916_224947,-55.0951,54.1621
20160916_230333,-55.0925,54.1626
20160916_231850,-55.0894,54.163
20160916_233250,-55.0861,54.1635
20160916_234835,-55.0826,54.1639
20160917_000303,-55.0789,54.1641
20160917_001730,-55.0749,54.1643
20160917_003047,-55.0707,54.1644
20160917_004550,-55.066,54.1645
20160917_005920,-55.0619,54.1645
20160917_011334,-55.0578,54.1642
20160917_012623,-55.0534,54.1643
20160917_014155,-55.0487,54.1642
20160917_015521,-55.0447,54.164
20160917_021116,-55.0405,54.1638
20160917_022510,-55.0366,54.1637
20160917_024050,-55.0326,54.1634
20160917_025453,-55.0288,54.1633
20160917_031006,-55.0252,54.1634
20160917_032316,-55.0221,54.1636
20160917_033730,-55.0188,54.1637
20160917_035124,-55.0156,54.1639
20160917_040557,-55.0109,54.1638
20160917_041936,-55.0088,54.1644
20160917_043306,-55.0068,54.1648
20160917_044333,-55.0046,54.165
20160917_050421,-55.0017,54.1654
20160917_051823,-54.9998,54.1658
20160917_053316,-54.9984,54.1664
20160917_054628,-54.9965,54.1668
20160917_060241,-54.9944,54.1672
20160917_061738,-54.9927,54.1681
20160917_063336,-54.9908,54.1691
20160917_064746,-54.9895,54.1701
20160917_070316,-54.9879,54.1714
20160917_071730,-54.9864,54.1727
20160917_073332,-54.9847,54.1737
20160917_074732,-54.9835,54.1749
20160917_080354,-54.9819,54.1762
20160917_081809,-54.9802,54.1775
20160917_083427,-54.9783,54.1789
20160917_084910,-54.9765,54.1805
20160917_090400,-54.9746,54.182
20160917_091801,-54.9728,54.1834
20160917_093420,-54.9708,54.1847
20160917_094814,-54.9684,54.1861
20160917_100342,-54.966,54.1873
20160917_101731,-54.9629,54.1887
20160917_103157,-54.9602,54.1894
20160917_104424,-54.9574,54.1903
20160917_110624,-54.9539,54.1893
20160917_112124,-54.95,54.1901
20160917_113645,-54.9457,54.1905
20160917_115120,-54.9415,54.1916
20160917_120731,-54.9369,54.1921
20160917_122209,-54.9319,54.1929
20160917_123811,-54.927,54.1931
20160917_125211,-54.9219,54.1936
20160917_130749,-54.9162,54.1937
20160917_132234,-54.9107,54.1938
20160917_133734,-54.9051,54.1938
20160917_135142,-54.8998,54.1939
20160917_140838,-54.8934,54.1935
20160917_142359,-54.8874,54.193
20160917_144032,-54.8821,54.1923
20160917_145513,-54.8775,54.1918
20160917_151201,-54.8722,54.1913
20160917_152719,-54.8674,54.1909
20160917_154355,-54.8621,54.1904
20160917_155858,-54.8574,54.1899
20160917_161435,-54.8525,54.1894
20160917_162940,-54.8477,54.189
20160917_163813,-54.8451,54.1887
20160917_164104,-54.8442,54.1886
20160917_171149,-54.8397,54.1857
20160917_172636,-54.8359,54.1854
20160917_174329,-54.8328,54.185
20160917_175854,-54.8296,54.185
20160917_181541,-54.8269,54.1851
20160917_183058,-54.8243,54.1853
20160917_184755,-54.8217,54.1846
20160917_190324,-54.8195,54.1854
20160917_191931,-54.8173,54.1862
20160917_193440,-54.8152,54.187
20160917_195225,-54.8131,54.188
20160917_200755,-54.8098,54.189
20160917_202410,-54.8064,54.19
20160917_203925,-54.8033,54.1909
20160917_205540,-54.8007,54.1922
20160917_211017,-54.799,54.1934
20160917_212648,-54.7971,54.1948
20160917_214109,-54.7955,54.196
20160917_215700,-54.7936,54.1974
20160917_221200,-54.7919,54.1987
20160917_222747,-54.7901,54.2
20160917_224251,-54.7884,54.2013
20160917_225536,-54.7869,54.2024
20160917_230451,-54.7859,54.2032
20160917_232817,-54.7831,54.2035
20160917_234346,-54.7798,54.2048
20160918_000049,-54.7763,54.2061
20160918_001552,-54.7723,54.2073
20160918_003251,-54.768,54.2085
20160918_004805,-54.7637,54.2096
20160918_010419,-54.7588,54.2106
20160918_011942,-54.7539,54.2116
20160918_013752,-54.7487,54.2123
20160918_015340,-54.7441,54.2131
20160918_021109,-54.7398,54.2138
20160918_022612,-54.735,54.2144
20160918_024141,-54.73,54.215
20160918_025718,-54.725,54.2156
20160918_031419,-54.7202,54.2162
20160918_032926,-54.716,54.2169
20160918_034612,-54.712,54.2177
20160918_040101,-54.7082,54.2182
20160918_041730,-54.7045,54.2188
20160918_043236,-54.7013,54.2195
20160918_044822,-54.6983,54.2203
20160918_050301,-54.6955,54.2212
20160918_052518,-54.6933,54.2202
20160918_054026,-54.6916,54.222
20160918_055652,-54.6896,54.2238
20160918_061150,-54.6884,54.2246
20160918_063350,-54.6871,54.225
20160918_064847,-54.6866,54.2265
20160918_070511,-54.686,54.2283
20160918_071950,-54.6846,54.23
20160918_073650,-54.6834,54.2317
20160918_075142,-54.6822,54.2337
20160918_080752,-54.681,54.2359
20160918_082318,-54.6794,54.2382
20160918_083926,-54.6778,54.2406
20160918_085511,-54.6762,54.243
20160918_091201,-54.6748,54.2456
20160918_092652,-54.673,54.2484
20160918_094345,-54.6708,54.2516
20160918_095930,-54.6689,54.2546
20160918_101618,-54.6668,54.2578
20160918_103132,-54.6649,54.2607
20160918_104911,-54.6623,54.2639
20160918_110513,-54.6591,54.2667
20160918_112844,-54.6553,54.2704
20160918_114501,-54.6514,54.273
20160918_120137,-54.647,54.2754
20160918_121647,-54.6424,54.2778
20160918_123310,-54.6378,54.2802
20160918_124820,-54.6328,54.2823
20160918_130638,-54.627,54.2842
20160918_132224,-54.6215,54.2865
20160918_134650,-54.614,54.2886
20160918_140301,-54.6083,54.2904
20160918_141952,-54.6024,54.2922
20160918_143452,-54.5972,54.2937
20160918_145142,-54.5917,54.295
20160918_150721,-54.5858,54.2963
20160918_152501,-54.5801,54.2974
20160918_154017,-54.5748,54.2985
20160918_155729,-54.5698,54.2994
20160918_161250,-54.5649,54.3004
20160918_162948,-54.5604,54.3014
20160918_164513,-54.5561,54.3023
