time,lat,lon,log,battery,u,v,wptLat,wptLon
20191213_114325,51.88425000000001,-47.21253333333334,0267.0011,96.66165492552071,0.0677590797701858,-0.054070232800905,56.22328333333333,-47.64573333333333
20191213_210201,51.883783333333334,-47.21140000000001,0267.0012,96.55930369144801,0.0673207965227116,-0.0541644834850199,56.22328333333333,-47.64573333333333
20191214_063401,51.9964,-47.25791666666668,0267.0013,96.45604782916661,-0.136263248351008,-0.11694473591905301,56.22328333333333,-47.64573333333333
20191214_155109,52.05174999999999,-47.28723333333334,0267.0014,96.35245245882851,-0.172012684456112,-0.0266578432178056,56.22328333333333,-47.64573333333333
20191215_010118,52.11343333333333,-47.29618333333333,0267.0015,96.2506668898646,-0.157624788471773,0.0331839900812286,56.22328333333333,-47.64573333333333
20191215_011317,52.11343333333333,-47.29618333333333,0267.0016,96.24286310917259,-0.157624788471773,0.0331839900812286,56.22328333333333,-47.64573333333333
20191215_101925,52.16978333333333,-47.31276666666666,0267.0018,96.14152985431309,-0.18637312832227104,0.0319093019847454,56.22328333333333,-47.64573333333333
20191215_195458,52.1694,-47.31456666666666,0267.0020,96.02752962470458,-0.18609677778876105,0.0318121438152631,56.22328333333333,-47.64573333333333
20191216_052332,52.30875,-47.34493333333334,0267.0022,95.9203155598795,-0.169147780935791,0.0451122956236638,56.22328333333333,-47.64573333333333
20191216_145915,52.37926666666667,-47.38005,0267.0024,95.8102738961192,-0.20305164093816197,0.0764117876870894,56.22328333333333,-47.64573333333333
20191216_150526,52.37926666666667,-47.38005,0267.0025,95.80699398307979,-0.20305164093816197,0.0764117876870894,56.22328333333333,-47.64573333333333
20191217_000544,52.44259999999999,-47.36776666666666,0267.0026,95.70894064125959,-0.15525805878119,0.0682503603523264,56.22328333333333,-47.64573333333333
20191217_093059,52.52663333333333,-47.38536666666667,0267.0028,95.6051191138694,-0.157074977102363,0.11356500653569301,56.22328333333333,-47.64573333333333
20191217_193952,52.60556666666667,-47.40036666666667,0267.0030,95.46013119011101,-0.16808408921007098,0.0977566090439104,56.22328333333333,-47.64573333333333
20191218_045124,52.69281666666667,-47.38708333333334,0267.0031,95.36038121626899,-0.10765008612817802,0.11231519266775598,56.22328333333333,-47.64573333333333
20191218_141445,52.78333333333333,-47.34441666666666,0267.0032,95.2599525896181,-0.0440605958288518,0.10529099731632302,56.22328333333333,-47.64573333333333
20191218_233309,52.86431666666667,-47.25528333333334,0267.0033,95.15285114918841,0.0688457279965176,-0.0113099477583151,56.22328333333333,-47.64573333333333
20191218_233845,52.86431666666667,-47.25528333333334,0267.0034,95.1492322730491,0.0688457279965176,-0.0113099477583151,56.22328333333333,-47.64573333333333
20191218_235204,52.86431666666667,-47.25528333333334,0267.0036,95.14120251695721,0.0688457279965176,-0.0113099477583151,56.22328333333333,-47.64573333333333
20191219_092341,52.947416666666676,-47.19143333333334,0267.0038,95.03127384089692,0.150297301767535,-0.0577514815295874,56.22328333333333,-47.64573333333333
20191219_093617,52.947416666666676,-47.19143333333334,0267.0039,95.022000130192,0.150297301767535,-0.0577514815295874,56.22328333333333,-47.64573333333333
20191219_190147,53.01170000000001,-47.15281666666666,0267.0040,94.9191965820149,0.162246262235091,-0.10193352730245699,53.70566666666666,-47.42023333333333
20191219_194129,53.01170000000001,-47.15281666666666,0267.0041,94.8920537394042,0.162246262235091,-0.10193352730245699,53.70566666666666,-47.42023333333333
20191220_052234,53.07178333333334,-47.11346666666667,0267.0042,94.78416065846581,0.159113487209134,-0.10551791617406599,53.70566666666666,-47.42023333333333
20191220_150339,53.12563333333333,-47.07963333333334,0267.0044,94.6686904988443,0.156004583518623,-0.12353024203475099,53.70566666666666,-47.42023333333333
20191220_151525,53.12563333333333,-47.07963333333334,0267.0046,94.6610000691568,0.156004583518623,-0.12353024203475099,53.70566666666666,-47.42023333333333
20191220_152606,53.12563333333333,-47.07963333333334,0267.0047,94.65455359408242,0.156004583518623,-0.12353024203475099,53.70566666666666,-47.42023333333333
20191221_003945,53.17858333333334,-47.04768333333333,0267.0048,94.55480362024029,0.154665318976081,-0.121885901798228,53.70566666666666,-47.42023333333333
20191221_004436,53.17858333333334,-47.04768333333333,0267.0049,94.55220272331421,0.154665318976081,-0.121885901798228,53.70566666666666,-47.42023333333333
20191221_005001,53.17858333333334,-47.04768333333333,0267.0050,94.54948811207899,0.154665318976081,-0.121885901798228,53.70566666666666,-47.42023333333333
20191221_100353,53.24323333333334,-47.041000000000004,0267.0051,94.44883351002831,0.132081385344654,-0.07215511996962401,53.70566666666666,-47.42023333333333
20191221_192746,53.30328333333333,-47.08973333333334,0267.0052,94.34727391646429,0.039997306243137,-0.0512709040326453,53.70566666666666,-47.42023333333333
20191222_044502,53.37845000000001,-47.10335,0267.0053,94.24469670699159,0.0598626157847875,-0.0315586694698807,53.70566666666666,-47.42023333333333
20191222_140501,53.45131666666666,-47.12141666666666,0267.0054,94.14223248521891,0.11417240543997802,-0.0300421246583924,53.70566666666666,-47.42023333333333
20191222_232009,53.51305000000001,-47.17355,0267.0056,94.0363749994023,0.069179249089581,-0.0279867052807447,53.70566666666666,-47.42023333333333
20191223_085043,53.57623333333333,-47.24486666666667,0267.0058,93.92407140181591,0.0112407506577088,-0.0175168809231825,53.70566666666666,-47.42023333333333
20191223_185648,53.6392,-47.29433333333333,0267.0060,93.7883571887624,0.0278670032643575,-0.0099723601293107,53.70566666666666,-47.42023333333333
20191224_043040,53.70195,-47.37781666666666,0267.0062,93.672774041441,0.0368758743368833,0.0036795977757004203,53.81358333333333,-47.38786666666667
20191224_135422,53.79493333333333,-47.391000000000005,0267.0064,93.5557206008021,0.0117340528559191,0.0287166149400763,54.02941666666667,-47.59810000000001
20191224_144210,53.79493333333333,-47.391000000000005,0267.0068,93.52009532469059,0.0117340528559191,0.0287166149400763,54.02941666666667,-47.59810000000001
20191224_144729,53.79493333333333,-47.391000000000005,0267.0069,93.5170417503557,0.0117340528559191,0.0287166149400763,54.02941666666667,-47.59810000000001
20191225_000221,53.88483333333334,-47.47195,0267.0071,93.41616080960041,-0.0130007252645657,0.0660929054852634,54.02941666666667,-47.59810000000001
20191225_010434,53.88483333333334,-47.47195,0267.0077,93.3693392153622,-0.0130007252645657,0.0660929054852634,54.02941666666667,-47.59810000000001
20191225_103236,53.99421666666667,-47.53573333333334,0267.0079,93.2614468610327,0.0294048600498648,0.0836685512069541,54.02941666666667,-47.59810000000001
20191225_194353,54.08256666666666,-47.54490000000001,0267.0080,93.1613571974818,0.0259519149540718,0.038482566069337004,56.22328333333333,-47.64573333333333
20191226_225849,54.34811666666666,-47.52935,0267.0083,92.8517025983374,-0.0135243540805927,0.0173655797735195,56.22328333333333,-47.64573333333333
20191227_054323,54.4096,-47.50940000000001,0267.0084,92.76755982257481,0.027177576111135998,0.0009293959788279631,56.22328333333333,-47.64573333333333
20191227_101724,54.45266666666666,-47.52950000000001,0267.0085,92.71847593120572,-0.0467984491381187,0.0285704518451421,56.22328333333333,-47.64573333333333
20191227_193612,54.5363,-47.51241666666666,0267.0086,92.61454177942,-0.0309681827262546,0.0170613214936116,56.22328333333333,-47.64573333333333
20191228_044556,54.61011666666667,-47.50866666666668,0267.0087,92.51388681406472,-0.0459618470018949,-0.0173733304967956,56.22328333333333,-47.64573333333333
20191228_135133,54.67316666666667,-47.480166666666676,0267.0088,92.41255392250959,-0.0370692005578625,-0.0448649023068471,56.22328333333333,-47.64573333333333
20191228_225840,54.73941666666666,-47.46795000000001,0267.0089,92.3124642589587,-0.0249679716876369,-0.0478002231219818,56.22328333333333,-47.64573333333333
20191229_081657,54.78909999999999,-47.44026666666667,0267.0091,92.1983510416503,-0.0195098221648765,-0.109037745381366,56.22328333333333,-47.64573333333333
20191229_172245,54.84256666666667,-47.46201666666666,0267.0093,92.0907976504208,-0.0334468477936748,-0.09889804195254,55.324433333333346,-47.67031666666666
20191230_031010,54.89750000000001,-47.49271666666667,0267.0094,91.9844882138043,-0.0489663974809446,-0.0832930174020464,55.324433333333346,-47.67031666666666
20191230_124454,54.95896666666666,-47.50761666666668,0267.0095,91.8801013846097,-0.03650045567572,-0.0668349403044229,55.324433333333346,-47.67031666666666
20191230_214708,55.0157,-47.51713333333334,0267.0096,91.7787677664457,-0.0151604450008381,-0.0979261605794647,55.324433333333346,-47.67031666666666
20191231_065328,55.08128333333334,-47.5308,0267.0097,91.67675622208179,-0.0277281726440656,-0.047492398176237,55.324433333333346,-47.67031666666666
20191231_070804,55.08128333333334,-47.5308,0267.0098,91.6658985037504,-0.0277281726440656,-0.047492398176237,55.43236666666667,-47.541533333333334
20191231_161918,55.16138333333333,-47.53885,0267.0099,91.5649049385997,-0.0477132442903449,0.0144014818994554,55.43236666666667,-47.541533333333334
20191231_162336,55.16138333333333,-47.53885,0267.0100,91.5626430047734,-0.0477132442903449,0.0144014818994554,55.43236666666667,-47.541533333333334
20200101_015054,55.23813333333333,-47.52289999999999,0267.0102,91.45033904388241,-0.0618467190297007,0.0228558636248338,55.43236666666667,-47.541533333333334
20200101_015519,55.23813333333333,-47.52289999999999,0267.0103,91.448529787465,-0.0618467190297007,0.0228558636248338,55.43236666666667,-47.541533333333334
20200101_112513,55.32686666666667,-47.5381,0267.0105,91.3461781900878,-0.0871722385798757,0.0650186789449384,55.43236666666667,-47.541533333333334
20200101_205941,55.39943333333333,-47.53368333333333,0267.0107,91.237833521654,-0.091796006616959,0.00895254615792612,55.54028333333334,-47.69808333333333
20200102_071725,55.47298333333333,-47.582283333333336,0267.0111,91.08798204053421,-0.0426838401531895,-0.026389960579806,55.54028333333334,-47.69808333333333
20200102_164143,55.5433,-47.65183333333332,0267.0113,90.9828039341354,-0.0160394107960791,-0.00487282579537468,55.81006666666667,-47.61295
20200103_015217,55.6174,-47.60229999999999,0267.0114,90.88271427058442,0.0303600041615264,-0.0485019946882753,55.81006666666667,-47.61295
20200103_110600,55.68633333333333,-47.60893333333334,0267.0115,90.78273868464692,0.006476104625016879,-0.0590854869829722,55.81006666666667,-47.61295
20200103_202512,55.75875,-47.61061666666666,0267.0116,90.6825356700915,-0.013563646896491002,-0.040820495953382004,55.81006666666667,-47.61295
20200104_055546,55.83811666666667,-47.64575,0267.0117,90.5798454729189,0.00260595940371768,-0.00592933463298657,55.86403333333333,-47.69191666666667
20200104_150537,55.92063333333334,-47.63866666666666,0267.0118,90.4793038585681,0.013228548052067,-0.00026883027658442205,56.13383333333332,-47.60568333333334
20200105_003156,56.01453333333334,-47.62538333333334,0267.0120,90.3444946370279,0.0194045119754039,0.0209562888932938,56.13383333333332,-47.60568333333334
20200105_094243,56.11063333333334,-47.640633333333334,0267.0121,90.2199763787969,-0.0357335332597802,0.048545048717528,56.18778333333334,-47.68523333333333
20200105_192259,56.10046666666668,-47.84403333333333,0267.0123,90.07860733117779,-0.09360497585941199,0.0206884242301581,56.13381666666668,-48.3271
20200106_045313,56.099,-48.05456666666667,0267.0124,89.95058318450741,-0.12232365322459599,-0.0215058850059751,56.13381666666668,-48.3271
20200106_135430,56.11550000000001,-48.2434,0267.0125,89.8261790038899,-0.13387344387907302,-0.0631890677825672,56.13381666666668,-48.3271
20200106_231525,56.1118,-48.4222,0267.0126,89.6975895554152,-0.14234767619263097,-0.13427078520004498,56.13381666666668,-51.75865
20200107_082552,56.10748333333333,-48.58456666666666,0267.0127,89.57228001997991,-0.156256636448969,-0.173812643757498,56.13381666666668,-51.75865
20200107_083013,56.10748333333333,-48.58456666666666,0267.0128,89.56979211075371,-0.156256636448969,-0.173812643757498,56.13381666666668,-51.75865
